model	display_name	bin	test_pairs	mean_predicted_probability	observed_fraction	ci95_low	ci95_high
context_only	Context	1	2822	0.3541107314635124	0.3628632175761871	0.3453205692021776	0.38077871439917044
context_only	Context	2	5644	0.5814774712780326	0.5712260807937632	0.5582705525716171	0.5840847181742229
context_only	Context	3	2822	0.6166617719830448	0.6243798724309001	0.6063544461205486	0.6420671338689266
context_only	Context	4	5644	0.6633942153306673	0.6482990786676116	0.635744592871255	0.660651829054785
context_only	Context	5	5644	0.6886365344529047	0.6784195605953225	0.6661160997138106	0.6904803123286295
context_only	Context	6	2822	0.7142329409322004	0.7101346562721474	0.6931186106143977	0.7265793863478779
context_only	Context	7	5644	0.728045435712067	0.7156272147413182	0.7037145750743715	0.7272465306412684
context_only	Context	8	2824	0.7392190188235651	0.7379603399433428	0.7214261912688622	0.7538479779416329
context_only	Context	9	5642	0.760359688267824	0.7428216944345977	0.7312542734332586	0.7540586812405223
context_only	Context	10	5644	0.9252837209946569	0.9270021261516654	0.919921223524475	0.933502165772725
context_support	Context + support	1	4443	0.05587628076213352	0.07629979743416611	0.06885445394305945	0.08447717821310902
context_support	Context + support	2	4580	0.17944410768102115	0.2017467248908297	0.19037664028733559	0.2136167079680218
context_support	Context + support	3	4520	0.43009030835905215	0.39557522123893807	0.3814147600546887	0.40991302881833497
context_support	Context + support	4	4402	0.6609106474013535	0.5963198546115402	0.5817481785340891	0.6107235678793607
context_support	Context + support	5	4028	0.8139574756018982	0.8038728897715988	0.7913236608885175	0.8158430704928388
context_support	Context + support	6	4947	0.8854974757975271	0.8956943602183142	0.8868676273196671	0.9039070384747342
context_support	Context + support	7	4619	0.924992951129705	0.9354838709677419	0.9280309191987488	0.9422130716099437
context_support	Context + support	8	4303	0.9484182474950185	0.9679293516151523	0.9622335373732923	0.9727904328618878
context_support	Context + support	9	4675	0.9659088324304619	0.985668449197861	0.9818408585017742	0.9886985453156323
context_support	Context + support	10	4635	0.9914474187590486	0.9943905070118663	0.991793218288623	0.9961689788857359
full	Context + support + sequence	1	4516	0.055196915141969956	0.07705934455270151	0.06963575788988607	0.08520185426903576
full	Context + support + sequence	2	4515	0.18164920317127908	0.20509413067552604	0.19356965222845005	0.2171200069978382
full	Context + support + sequence	3	4515	0.42968581513986137	0.3977851605758583	0.3836014410085924	0.4121426654374699
full	Context + support + sequence	4	4515	0.6619763480221862	0.5940199335548173	0.5796216179697623	0.608258396794369
full	Context + support + sequence	5	4515	0.8214087033397215	0.8150609080841639	0.8034699723827057	0.826116178387557
full	Context + support + sequence	6	4515	0.8894313180343275	0.8987818383167221	0.8896422129108998	0.9072434563065752
full	Context + support + sequence	7	4515	0.9263987284953172	0.940420819490587	0.9331347796422458	0.9469580574801919
full	Context + support + sequence	8	4515	0.9497978089733818	0.9650055370985604	0.9592377186958257	0.9699827547960315
full	Context + support + sequence	9	4515	0.9675321903363345	0.9880398671096345	0.9844284541028413	0.9908215165279314
full	Context + support + sequence	10	4516	0.9922286803368741	0.9951284322409212	0.9926346223458464	0.9967806128440231
