context	model	display_name	test_pairs	observed_pairs	prevalence	average_precision	brier	roc_auc	ap_lift	normalized_ap_lift
A549	prevalence	Prevalence	2822	2004	0.7101346562721474	0.7101346562721474	0.20607483182110453	0.5	0.0	0.0
A549	context_only	Context	2822	2004	0.7101346562721474	0.7101346562721474	0.20586022217054128	0.5	0.0	0.0
A549	context_support	Context + support	2822	2004	0.7101346562721474	0.9419637820484131	0.10106182407231173	0.9041031628674192	0.2318291257762657	0.7997821429591954
A549	full	Context + support + sequence	2822	2004	0.7101346562721474	0.9480850349443837	0.10099236657711538	0.9048266547589416	0.23795037867223623	0.8208997171308688
GM12878	prevalence	Prevalence	2822	2083	0.7381289865343728	0.7381289865343728	0.1951613745751794	0.5	0.0	0.0
GM12878	context_only	Context	2822	2083	0.7381289865343728	0.7381289865343728	0.1932957659169423	0.5	0.0	0.0
GM12878	context_support	Context + support	2822	2083	0.7381289865343728	0.9462434355083653	0.11595469150511059	0.887073136031941	0.20811444897399256	0.7947212111023098
GM12878	full	Context + support + sequence	2822	2083	0.7381289865343728	0.9516566991839317	0.11612218303661134	0.8878185868331626	0.21352771264955894	0.8153926997253792
H1-hESC	prevalence	Prevalence	2822	2482	0.8795180722891566	0.8795180722891566	0.14004150823183595	0.5	0.0	0.0
H1-hESC	context_only	Context	2822	2482	0.8795180722891566	0.8795180722891566	0.10597086352484819	0.5	0.0	0.0
H1-hESC	context_support	Context + support	2822	2482	0.8795180722891566	0.9900611558467316	0.06124976592444375	0.9408559273830402	0.11054308355757503	0.9175075935278724
H1-hESC	full	Context + support + sequence	2822	2482	0.8795180722891566	0.9921750626904529	0.05991637319401233	0.9444743328435323	0.11265699040129629	0.9350530203307588
HEK293T	prevalence	Prevalence	2822	2750	0.9744861800141743	0.9744861800141743	0.10301864061274817	0.5	0.0	0.0
HEK293T	context_only	Context	2822	2750	0.9744861800141743	0.9744861800141743	0.024894614819272076	0.5	0.0	0.0
HEK293T	context_support	Context + support	2822	2750	0.9744861800141743	0.992230334517681	0.025846692297708355	0.806739898989899	0.017744154503506637	0.6954722779013286
HEK293T	full	Context + support + sequence	2822	2750	0.9744861800141743	0.9926146059187883	0.02609073830837468	0.8073888888888888	0.018128425904613943	0.7105335819836177
HT1080	prevalence	Prevalence	2822	1887	0.6686746987951807	0.6686746987951807	0.22223780014734812	0.5	0.0	0.0
HT1080	context_only	Context	2822	1887	0.6686746987951807	0.6686746987951807	0.22175992149389503	0.5	0.0	0.0
HT1080	context_support	Context + support	2822	1887	0.6686746987951807	0.9661633706073642	0.0877182131659619	0.9463795346148287	0.2974886718121835	0.8978749003785902
HT1080	full	Context + support + sequence	2822	1887	0.6686746987951807	0.9720743984594775	0.08743784307801233	0.9475663773241628	0.3033996996642968	0.9157154571686049
HUVEC	prevalence	Prevalence	2822	2020	0.7158043940467753	0.7158043940467753	0.20386451136623363	0.5	0.0	0.0
HUVEC	context_only	Context	2822	2020	0.7158043940467753	0.7158043940467753	0.2035722230180332	0.5	0.0	0.0
HUVEC	context_support	Context + support	2822	2020	0.7158043940467753	0.9783324632383785	0.07434927936632887	0.9560609614577418	0.2625280691916032	0.9237583681529977
HUVEC	full	Context + support + sequence	2822	2020	0.7158043940467753	0.9810681567414825	0.07535092057552832	0.9552085133700404	0.2652637626947072	0.9333844617512016
HeLa-S3	prevalence	Prevalence	2822	1812	0.6420978029766123	0.6420978029766123	0.2325986772795555	0.5	0.0	0.0
HeLa-S3	context_only	Context	2822	1812	0.6420978029766123	0.6420978029766123	0.23002725491709916	0.5	0.0	0.0
HeLa-S3	context_support	Context + support	2822	1812	0.6420978029766123	0.920463406437609	0.11804659310306827	0.8983132253622714	0.2783656034609967	0.7777700326405275
HeLa-S3	full	Context + support + sequence	2822	1812	0.6420978029766123	0.9328088860774272	0.11791284536516829	0.9009108692326186	0.29071108310081484	0.8122640361490094
HepG2	prevalence	Prevalence	2822	2019	0.715450035435861	0.715450035435861	0.20400265639466306	0.5	0.0	0.0
HepG2	context_only	Context	2822	2019	0.715450035435861	0.715450035435861	0.2037463139356061	0.5	0.0	0.0
HepG2	context_support	Context + support	2822	2019	0.715450035435861	0.9655457639191571	0.09859496536136002	0.9274606061839671	0.2500957284832961	0.8789167444332023
HepG2	full	Context + support + sequence	2822	2019	0.715450035435861	0.9699024865251711	0.09864633258198055	0.9280786451500286	0.25445245108931	0.894227667464549
IMR-90	prevalence	Prevalence	2822	1024	0.3628632175761871	0.3628632175761871	0.34145695968194806	0.5	0.0	0.0
IMR-90	context_only	Context	2822	1024	0.3628632175761871	0.36348542146527285	0.23127010891959632	0.50048828125	0.0006222038890857373	0.0009765624999999726
IMR-90	context_support	Context + support	2822	1024	0.3628632175761871	0.4767549730074896	0.22899005662488484	0.6740193096496107	0.11389175543130248	0.1787555805490187
IMR-90	full	Context + support + sequence	2822	1024	0.3628632175761871	0.5155110316159311	0.22770238272660018	0.6832108375625695	0.15264781403974403	0.23958405518362497
K562	prevalence	Prevalence	2822	1847	0.6545003543586109	0.6545003543586109	0.22776360128452536	0.5	0.0	0.0
K562	context_only	Context	2822	1847	0.6545003543586109	0.6545003543586109	0.22636650046718385	0.5	0.0	0.0
K562	context_support	Context + support	2822	1847	0.6545003543586109	0.9226278491413777	0.12579664224474307	0.8899365568558855	0.2681274947827669	0.7760572207968903
K562	full	Context + support + sequence	2822	1847	0.6545003543586109	0.931318995479566	0.12591591374129224	0.8901697832937682	0.2768186411209551	0.8012125181982925
MCF-7	prevalence	Prevalence	2822	2132	0.7554925584691708	0.7554925584691708	0.1883922681821372	0.5	0.0	0.0
MCF-7	context_only	Context	2822	2132	0.7554925584691708	0.7554925584691708	0.1851559151551148	0.5	0.0	0.0
MCF-7	context_support	Context + support	2822	2132	0.7554925584691708	0.9752429852768838	0.08807853136952959	0.9350300459526333	0.21975042680771295	0.898747397755603
MCF-7	full	Context + support + sequence	2822	2132	0.7554925584691708	0.9790501383880773	0.0876158154334979	0.9364079451831309	0.22355757991890646	0.914318102219064
NCI-H460	prevalence	Prevalence	2822	1579	0.5595322466335932	0.5595322466335932	0.2647864689036132	0.5	0.0	0.0
NCI-H460	context_only	Context	2822	1579	0.5595322466335932	0.5595322466335932	0.2464664604099671	0.5	0.0	0.0
NCI-H460	context_support	Context + support	2822	1579	0.5595322466335932	0.8750817817852494	0.11648986342536828	0.8977159999735058	0.3155495351516562	0.7163964506821994
NCI-H460	full	Context + support + sequence	2822	1579	0.5595322466335932	0.8910330989211501	0.1164416509671843	0.8992350831534364	0.3315008522875569	0.7526109454187334
NHEK	prevalence	Prevalence	2822	2060	0.7299787384833452	0.7299787384833452	0.19833871022905628	0.5	0.0	0.0
NHEK	context_only	Context	2822	2060	0.7299787384833452	0.7301417647942097	0.19731839320983127	0.5004134495324006	0.00016302631086451136	0.000603753607952298
NHEK	context_support	Context + support	2822	2060	0.7299787384833452	0.9729881176364741	0.08853536664705106	0.9381042478913437	0.24300937915312892	0.8999638687272046
NHEK	full	Context + support + sequence	2822	2060	0.7299787384833452	0.9769324092488394	0.08867604216539114	0.938505911882374	0.24695367076549424	0.9145712059058068
SK-MEL-5	prevalence	Prevalence	2822	1645	0.5829199149539334	0.5829199149539334	0.25566889702727064	0.5	0.0	0.0
SK-MEL-5	context_only	Context	2822	1645	0.5829199149539334	0.5829199149539334	0.24342201891452805	0.5	0.0	0.0
