model	C	validation_average_precision	selected
context_only	0.01	0.8108255517248342	False
context_only	0.1	0.8108259126654339	True
context_only	1.0	0.8108255517248342	False
context_only	10.0	0.8108255517248342	False
support_only	0.01	0.8948028227313798	True
support_only	0.1	0.8948028227313798	False
support_only	1.0	0.8948028227313798	False
support_only	10.0	0.8948028227313798	False
sequence_only	0.01	0.8193198282165068	False
sequence_only	0.1	0.8202287047605354	False
sequence_only	1.0	0.8206583923379108	False
sequence_only	10.0	0.820698649242479	True
context_sequence	0.01	0.8810159488019816	False
context_sequence	0.1	0.8818956961331483	False
context_sequence	1.0	0.8826123318713818	False
context_sequence	10.0	0.8826850237169418	True
context_support	0.01	0.9571110058033614	True
context_support	0.1	0.9570809029885115	False
context_support	1.0	0.9570809516052865	False
context_support	10.0	0.9570809029885115	False
support_sequence	0.01	0.898946335692641	False
support_sequence	0.1	0.8989835264768322	False
support_sequence	1.0	0.898986932036185	False
support_sequence	10.0	0.898987056009124	True
full	0.01	0.957930903174901	True
full	0.1	0.9579136499939518	False
full	1.0	0.9579117989074	False
full	10.0	0.9579116590210739	False
