other_context_support	test_pairs	observed_pairs	observed_fraction	ci95_low	ci95_high	selection_boundary
0	149	149	1.0	0.9748663821299904	0.9999999999999999	True
1	2493	258	0.10348977135980746	0.0921366965083889	0.11606292985724548	False
2	2163	357	0.1650485436893204	0.15000065052371434	0.18128406617696216	False
3	1923	376	0.1955278211128445	0.17841580620271136	0.21385386152765812	False
4	1558	430	0.27599486521181	0.254369729392347	0.29872191377158747	False
5	1444	498	0.3448753462603878	0.3207995667097191	0.36977428910118715	False
6	1530	700	0.45751633986928103	0.4326906627249529	0.48255481505737835	False
7	1564	664	0.42455242966751916	0.4002704436744716	0.44920413255116554	False
8	1447	783	0.5411195577055978	0.515369479407475	0.5666518877629452	False
9	1759	1150	0.6537805571347356	0.6312337073835287	0.6756571915643087	False
10	1636	946	0.578239608801956	0.5541536383464403	0.6019590142657851	False
11	1942	1512	0.7785787847579815	0.7595723680647318	0.7964852671013737	False
12	2727	2223	0.8151815181518152	0.8001734715957444	0.8293028366855665	False
13	5315	4802	0.903480714957667	0.8952478778693745	0.9111307354444668	False
14	9926	9240	0.9308885754583921	0.9257302447937417	0.935713518983722	False
15	7576	6960	0.9186906019007391	0.9123219484932901	0.924634871047765	False
