model	C	validation_average_precision	selected
context_only	0.01	0.8088013191686495	False
context_only	0.1	0.8088030450403131	True
context_only	1.0	0.8088017814478641	False
context_only	10.0	0.8088023205771866	False
support_only	0.01	0.8957244694129382	True
support_only	0.1	0.8957244694129382	False
support_only	1.0	0.8957244694129382	False
support_only	10.0	0.8957244694129382	False
context_support	0.01	0.9574916792570173	True
context_support	0.1	0.9574870512524627	False
context_support	1.0	0.9574870125895149	False
context_support	10.0	0.9574870170702254	False
full	0.01	0.9583069052169548	True
full	0.1	0.958304492074631	False
full	1.0	0.9583037699838879	False
full	10.0	0.9583037953477528	False
