context	model	display_name	test_pairs	observed_pairs	prevalence	average_precision	brier	roc_auc	ap_lift	normalized_ap_lift
A549	context_support	Context + support	2822	2004	0.7101346562721474	0.9419637820484132	0.1010618240723117	0.9041031628674192	0.2318291257762657	0.7997821429591954
GM12878	context_support	Context + support	2822	2083	0.7381289865343728	0.9462434355083652	0.1159546915051105	0.887073136031941	0.2081144489739925	0.7947212111023098
H1-hESC	context_support	Context + support	2822	2482	0.8795180722891566	0.9900611558467316	0.0612497659244437	0.9408559273830402	0.110543083557575	0.9175075935278724
HEK293T	context_support	Context + support	2822	2750	0.9744861800141744	0.992230334517681	0.0258466922977083	0.806739898989899	0.0177441545035066	0.6954722779013286
HT1080	context_support	Context + support	2822	1887	0.6686746987951807	0.9661633706073642	0.0877182131659619	0.9463795346148288	0.2974886718121835	0.8978749003785902
HUVEC	context_support	Context + support	2822	2020	0.7158043940467753	0.9783324632383784	0.0743492793663288	0.9560609614577418	0.2625280691916032	0.9237583681529976
HeLa-S3	context_support	Context + support	2822	1812	0.6420978029766123	0.920463406437609	0.1180465931030682	0.8983132253622714	0.2783656034609967	0.7777700326405275
HepG2	context_support	Context + support	2822	2019	0.715450035435861	0.9655457639191573	0.09859496536136	0.9274606061839672	0.2500957284832961	0.8789167444332023
IMR-90	context_support	Context + support	2822	1024	0.3628632175761871	0.4767549730074896	0.2289900566248848	0.6740193096496107	0.1138917554313024	0.1787555805490187
K562	context_support	Context + support	2822	1847	0.6545003543586109	0.9226278491413776	0.125796642244743	0.8899365568558855	0.2681274947827669	0.7760572207968903
MCF-7	context_support	Context + support	2822	2132	0.7554925584691708	0.9752429852768838	0.0880785313695295	0.9350300459526332	0.2197504268077129	0.898747397755603
NCI-H460	context_support	Context + support	2822	1579	0.5595322466335932	0.8750817817852494	0.1164898634253682	0.8977159999735058	0.3155495351516562	0.7163964506821994
NHEK	context_support	Context + support	2822	2060	0.7299787384833452	0.972988117636474	0.088535366647051	0.9381042478913436	0.2430093791531289	0.8999638687272046
SK-MEL-5	context_support	Context + support	2822	1645	0.5829199149539334	0.8974035664578028	0.1167609435699877	0.9027869525582788	0.3144836515038695	0.7540126291792011
SK-N-DZ	context_support	Context + support	2822	1762	0.6243798724309001	0.8959328966291371	0.1264848775147206	0.8818722827832866	0.271553024198237	0.722945881403231
SK-N-SH	context_support	Context + support	2822	1942	0.6881644223954642	0.9201396187325772	0.1232305093928577	0.8755831031738601	0.2319751963371131	0.7439022773446968
