other_context_support	test_pairs	observed_pairs	observed_fraction	ci95_low	ci95_high	selection_boundary
0	149	149	1.0	0.9748663821299904	1.0	True
1	2493	258	0.1034897713598074	0.0921366965083889	0.1160629298572454	False
2	2163	357	0.1650485436893204	0.1500006505237143	0.1812840661769621	False
3	1923	376	0.1955278211128445	0.1784158062027113	0.2138538615276581	False
4	1558	430	0.27599486521181	0.254369729392347	0.2987219137715874	False
5	1444	498	0.3448753462603878	0.3207995667097191	0.3697742891011871	False
6	1530	700	0.457516339869281	0.4326906627249529	0.4825548150573783	False
7	1564	664	0.4245524296675191	0.4002704436744716	0.4492041325511655	False
8	1447	783	0.5411195577055978	0.515369479407475	0.5666518877629452	False
9	1759	1150	0.6537805571347356	0.6312337073835287	0.6756571915643087	False
10	1636	946	0.578239608801956	0.5541536383464403	0.6019590142657851	False
11	1942	1512	0.7785787847579815	0.7595723680647318	0.7964852671013737	False
12	2727	2223	0.8151815181518152	0.8001734715957444	0.8293028366855665	False
13	5315	4802	0.903480714957667	0.8952478778693745	0.9111307354444668	False
14	9926	9240	0.930888575458392	0.9257302447937416	0.935713518983722	False
15	7576	6960	0.9186906019007391	0.91232194849329	0.924634871047765	False
