context	model	display_name	test_pairs	observed_pairs	prevalence	average_precision	brier	roc_auc	ap_lift	normalized_ap_lift
A549	prevalence	Prevalence	2822	2004	0.7101346562721474	0.7101346562721474	0.2060748318211045	0.5	0.0	0.0
A549	context_only	Context	2822	2004	0.7101346562721474	0.7101346562721474	0.2058602221705412	0.5	0.0	0.0
A549	context_support	Context + support	2822	2004	0.7101346562721474	0.9419637820484132	0.1010618240723117	0.9041031628674192	0.2318291257762657	0.7997821429591954
A549	full	Context + support + sequence	2822	2004	0.7101346562721474	0.9480850349443836	0.1009923665771153	0.9048266547589416	0.2379503786722362	0.8208997171308688
GM12878	prevalence	Prevalence	2822	2083	0.7381289865343728	0.7381289865343728	0.1951613745751794	0.5	0.0	0.0
GM12878	context_only	Context	2822	2083	0.7381289865343728	0.7381289865343728	0.1932957659169423	0.5	0.0	0.0
GM12878	context_support	Context + support	2822	2083	0.7381289865343728	0.9462434355083652	0.1159546915051105	0.887073136031941	0.2081144489739925	0.7947212111023098
GM12878	full	Context + support + sequence	2822	2083	0.7381289865343728	0.9516566991839316	0.1161221830366113	0.8878185868331626	0.2135277126495589	0.8153926997253792
H1-hESC	prevalence	Prevalence	2822	2482	0.8795180722891566	0.8795180722891566	0.1400415082318359	0.5	0.0	0.0
H1-hESC	context_only	Context	2822	2482	0.8795180722891566	0.8795180722891566	0.1059708635248481	0.5	0.0	0.0
H1-hESC	context_support	Context + support	2822	2482	0.8795180722891566	0.9900611558467316	0.0612497659244437	0.9408559273830402	0.110543083557575	0.9175075935278724
H1-hESC	full	Context + support + sequence	2822	2482	0.8795180722891566	0.9921750626904527	0.0599163731940123	0.9444743328435324	0.1126569904012962	0.9350530203307588
HEK293T	prevalence	Prevalence	2822	2750	0.9744861800141744	0.9744861800141744	0.1030186406127481	0.5	0.0	0.0
HEK293T	context_only	Context	2822	2750	0.9744861800141744	0.9744861800141744	0.024894614819272	0.5	0.0	0.0
HEK293T	context_support	Context + support	2822	2750	0.9744861800141744	0.992230334517681	0.0258466922977083	0.806739898989899	0.0177441545035066	0.6954722779013286
HEK293T	full	Context + support + sequence	2822	2750	0.9744861800141744	0.9926146059187884	0.0260907383083746	0.8073888888888888	0.0181284259046139	0.7105335819836177
HT1080	prevalence	Prevalence	2822	1887	0.6686746987951807	0.6686746987951807	0.2222378001473481	0.5	0.0	0.0
HT1080	context_only	Context	2822	1887	0.6686746987951807	0.6686746987951807	0.221759921493895	0.5	0.0	0.0
HT1080	context_support	Context + support	2822	1887	0.6686746987951807	0.9661633706073642	0.0877182131659619	0.9463795346148288	0.2974886718121835	0.8978749003785902
HT1080	full	Context + support + sequence	2822	1887	0.6686746987951807	0.9720743984594776	0.0874378430780123	0.9475663773241628	0.3033996996642968	0.9157154571686048
HUVEC	prevalence	Prevalence	2822	2020	0.7158043940467753	0.7158043940467753	0.2038645113662336	0.5	0.0	0.0
HUVEC	context_only	Context	2822	2020	0.7158043940467753	0.7158043940467753	0.2035722230180332	0.5	0.0	0.0
HUVEC	context_support	Context + support	2822	2020	0.7158043940467753	0.9783324632383784	0.0743492793663288	0.9560609614577418	0.2625280691916032	0.9237583681529976
HUVEC	full	Context + support + sequence	2822	2020	0.7158043940467753	0.9810681567414824	0.0753509205755283	0.9552085133700404	0.2652637626947072	0.9333844617512016
HeLa-S3	prevalence	Prevalence	2822	1812	0.6420978029766123	0.6420978029766123	0.2325986772795555	0.5	0.0	0.0
HeLa-S3	context_only	Context	2822	1812	0.6420978029766123	0.6420978029766123	0.2300272549170991	0.5	0.0	0.0
HeLa-S3	context_support	Context + support	2822	1812	0.6420978029766123	0.920463406437609	0.1180465931030682	0.8983132253622714	0.2783656034609967	0.7777700326405275
HeLa-S3	full	Context + support + sequence	2822	1812	0.6420978029766123	0.9328088860774272	0.1179128453651682	0.9009108692326186	0.2907110831008148	0.8122640361490094
HepG2	prevalence	Prevalence	2822	2019	0.715450035435861	0.715450035435861	0.204002656394663	0.5	0.0	0.0
HepG2	context_only	Context	2822	2019	0.715450035435861	0.715450035435861	0.2037463139356061	0.5	0.0	0.0
HepG2	context_support	Context + support	2822	2019	0.715450035435861	0.9655457639191573	0.09859496536136	0.9274606061839672	0.2500957284832961	0.8789167444332023
HepG2	full	Context + support + sequence	2822	2019	0.715450035435861	0.9699024865251712	0.0986463325819805	0.9280786451500286	0.25445245108931	0.894227667464549
IMR-90	prevalence	Prevalence	2822	1024	0.3628632175761871	0.3628632175761871	0.341456959681948	0.5	0.0	0.0
IMR-90	context_only	Context	2822	1024	0.3628632175761871	0.3634854214652728	0.2312701089195963	0.50048828125	0.0006222038890857	0.0009765624999999
IMR-90	context_support	Context + support	2822	1024	0.3628632175761871	0.4767549730074896	0.2289900566248848	0.6740193096496107	0.1138917554313024	0.1787555805490187
IMR-90	full	Context + support + sequence	2822	1024	0.3628632175761871	0.5155110316159311	0.2277023827266001	0.6832108375625695	0.152647814039744	0.2395840551836249
K562	prevalence	Prevalence	2822	1847	0.6545003543586109	0.6545003543586109	0.2277636012845253	0.5	0.0	0.0
K562	context_only	Context	2822	1847	0.6545003543586109	0.6545003543586109	0.2263665004671838	0.5	0.0	0.0
K562	context_support	Context + support	2822	1847	0.6545003543586109	0.9226278491413776	0.125796642244743	0.8899365568558855	0.2681274947827669	0.7760572207968903
K562	full	Context + support + sequence	2822	1847	0.6545003543586109	0.931318995479566	0.1259159137412922	0.8901697832937682	0.2768186411209551	0.8012125181982925
MCF-7	prevalence	Prevalence	2822	2132	0.7554925584691708	0.7554925584691708	0.1883922681821372	0.5	0.0	0.0
MCF-7	context_only	Context	2822	2132	0.7554925584691708	0.7554925584691708	0.1851559151551148	0.5	0.0	0.0
MCF-7	context_support	Context + support	2822	2132	0.7554925584691708	0.9752429852768838	0.0880785313695295	0.9350300459526332	0.2197504268077129	0.898747397755603
MCF-7	full	Context + support + sequence	2822	2132	0.7554925584691708	0.9790501383880772	0.0876158154334979	0.9364079451831308	0.2235575799189064	0.914318102219064
NCI-H460	prevalence	Prevalence	2822	1579	0.5595322466335932	0.5595322466335932	0.2647864689036132	0.5	0.0	0.0
NCI-H460	context_only	Context	2822	1579	0.5595322466335932	0.5595322466335932	0.2464664604099671	0.5	0.0	0.0
NCI-H460	context_support	Context + support	2822	1579	0.5595322466335932	0.8750817817852494	0.1164898634253682	0.8977159999735058	0.3155495351516562	0.7163964506821994
NCI-H460	full	Context + support + sequence	2822	1579	0.5595322466335932	0.8910330989211501	0.1164416509671843	0.8992350831534364	0.3315008522875569	0.7526109454187334
NHEK	prevalence	Prevalence	2822	2060	0.7299787384833452	0.7299787384833452	0.1983387102290562	0.5	0.0	0.0
NHEK	context_only	Context	2822	2060	0.7299787384833452	0.7301417647942097	0.1973183932098312	0.5004134495324006	0.0001630263108645	0.0006037536079522
NHEK	context_support	Context + support	2822	2060	0.7299787384833452	0.972988117636474	0.088535366647051	0.9381042478913436	0.2430093791531289	0.8999638687272046
NHEK	full	Context + support + sequence	2822	2060	0.7299787384833452	0.9769324092488394	0.0886760421653911	0.938505911882374	0.2469536707654942	0.9145712059058068
SK-MEL-5	prevalence	Prevalence	2822	1645	0.5829199149539334	0.5829199149539334	0.2556688970272706	0.5	0.0	0.0
SK-MEL-5	context_only	Context	2822	1645	0.5829199149539334	0.5829199149539334	0.243422018914528	0.5	0.0	0.0
SK-MEL-5	context_support	Context + support	2822	1645	0.5829199149539334	0.8974035664578028	0.1167609435699877	0.9027869525582788	0.3144836515038695	0.7540126291792011
SK-MEL-5	full	Context + support + sequence	2822	1645	0.5829199149539334	0.9100978542709292	0.1161368334012412	0.906216154098437	0.3271779393169958	0.7844487211151759
