model	label	prevalence	average_precision	roc_auc	threshold	precision	recall	f1
label_frequency	nucleus	0.9841535686678692	0.9841535686678692	0.5	0.984993141476664	0.9841535686678692	1.0	0.9920135056165184
label_frequency	cytoplasm	0.0922764751352744	0.0922764751352744	0.5	0.0933919321927484	0.0922764751352744	1.0	0.1689617550791732
label_frequency	endoplasmic_reticulum	0.0096946663231126	0.0096946663231126	0.5	0.0095268642558331	0.0096946663231126	1.0	0.0192031643752591
label_frequency	mitochondrion	0.0859958773511981	0.0859958773511981	0.5	0.0849774453536063	0.0859958773511981	1.0	0.1583723827036004
context_only	nucleus	0.9841535686678692	0.9986360422518364	0.951681844716405	0.8555338332679017	0.9841535686678692	1.0	0.9920135056165184
context_only	cytoplasm	0.0922764751352744	0.7507264920814051	0.9786939560250046	0.8247512770551708	0.8145454545454546	0.7818499127399651	0.7978628673196795
context_only	endoplasmic_reticulum	0.0096946663231126	0.1589368032195067	0.973850675219158	0.1540237358833277	0.1602598808879263	0.9833887043189368	0.2756052141527002
context_only	mitochondrion	0.0859958773511981	0.9709090909090908	0.9985904573965748	0.9734015592392584	0.9709090909090908	1.0	0.985239852398524
sequence_3mer	nucleus	0.9841535686678692	0.9919692837803452	0.7254444259081287	0.0895874872803688	0.9841535686678692	1.0	0.9920135056165184
sequence_3mer	cytoplasm	0.0922764751352744	0.1032539369105456	0.5355241630383918	0.4909030199050903	0.0983066550002573	0.6666666666666666	0.1713465506414281
sequence_3mer	endoplasmic_reticulum	0.0096946663231126	0.0151269033931233	0.6174540756859622	0.5726041793823242	0.0168087121212121	0.2358803986710963	0.0313812154696132
sequence_3mer	mitochondrion	0.0859958773511981	0.1112043728868562	0.5499444563666056	0.5011169910430908	0.0963597430406852	0.5393258426966292	0.1635063018053821
sequence_3mer_plus_context	nucleus	0.9841535686678692	0.9994499213959182	0.9668864350886603	0.0364019311964511	0.9854464487398754	0.9994109176593796	0.9923795596717848
sequence_3mer_plus_context	cytoplasm	0.0922764751352744	0.8128036082925002	0.9828890883250636	0.7990708947181702	0.7652091254752852	0.8429319371727748	0.802192326856004
sequence_3mer_plus_context	endoplasmic_reticulum	0.0096946663231126	0.2290658747683882	0.9802545087995512	0.9653460383415222	0.2050739957716701	0.6445182724252492	0.3111467522052927
sequence_3mer_plus_context	mitochondrion	0.0859958773511981	0.985343601690787	0.999170877477225	0.995126724243164	0.9709090909090908	1.0	0.985239852398524
